SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy,PricePerBrick
29034,42099,1,Technic,,2019,4x4 X-Treme Off-Roader,,958,199.99,249.99,299.99,229.99,https://images.brickset.com/sets/images/42099-1.jpg,168,1204,0.208757829
26705,76087,1,DC Comics Super Heroes,DC Extended Universe,2017,Flying Fox: Batmobile Airlift Attack,6,955,99.99,129.99,159.99,119.99,https://images.brickset.com/sets/images/76087-1.jpg,1620,1046,0.104701571
28549,70679,1,Ninjago,Legacy,2019,The Ultra Dragon,6,951,79.99,84.99,119.99,89.99,https://images.brickset.com/sets/images/70679-1.jpg,372,679,0.084111462
24930,70615,1,The LEGO Ninjago Movie,,2017,Fire Mech,6,944,59.99,69.99,89.99,69.99,https://images.brickset.com/sets/images/70615-1.jpg,3087,970,0.063548729
28399,60216,1,City,Fire,2019,Downtown Fire Brigade,7,943,89.99,99.99,139.99,99.99,https://images.brickset.com/sets/images/60216-1.jpg,469,916,0.09542948
26621,75883,1,Speed Champions,Mercedes,2017,Mercedes AMG Petronas Formula One Team,8,941,84.99,99.99,129.99,99.99,https://images.brickset.com/sets/images/75883-1.jpg,1627,1291,0.09031881
29243,BL19009,1,Miscellaneous,BrickLink AFOL Designer Set,2019,Imagine it! Build it!,,924,,,,,https://images.brickset.com/sets/images/BL19009-1.jpg,33,76,0
27809,31084,1,Creator,,2018,Pirate Roller Coaster,5,923,69.99,89.99,109.99,79.99,https://images.brickset.com/sets/images/31084-1.jpg,3642,1984,0.075828819
29279,75948,1,Harry Potter,Goblet of Fire,2019,Hogwarts Clock Tower,,922,84.99,89.99,119.99,89.99,https://images.brickset.com/sets/images/75948-1.jpg,1170,2225,0.092180043
29033,42097,1,Technic,,2019,Compact Crawler Crane,,920,79.99,99.99,139.99,89.99,https://images.brickset.com/sets/images/42097-1.jpg,71,669,0.086945652
24931,70616,1,The LEGO Ninjago Movie,,2017,Ice Tank,5,914,79.99,79.99,99.99,79.99,https://images.brickset.com/sets/images/70616-1.jpg,1169,808,0.087516411
29069,41381,1,Friends,,2019,Rescue Mission Boat,4,908,84.99,89.99,109.99,89.99,https://images.brickset.com/sets/images/41381-1.jpg,66,389,0.093601322
27459,10259,1,Creator Expert,Winter Village,2017,Winter Village Station,5,902,74.99,79.99,99.99,69.99,https://images.brickset.com/sets/images/10259-1.jpg,8040,1925,0.083137472
28603,11005,1,Classic,,2019,Creative Fun,,900,29.99,39.99,49.99,34.99,https://images.brickset.com/sets/images/11005-1.jpg,118,129,0.033322222
26773,10704,1,Classic,,2017,Creative Box,,900,29.99,,,34.99,https://images.brickset.com/sets/images/10704-1.jpg,1869,267,0.033322222
26652,60141,1,City,Police,2017,Police Station,7,894,84.99,99.99,129.99,99.99,https://images.brickset.com/sets/images/60141-1.jpg,2218,1158,0.095067114
27884,41196,1,Elves,,2018,The Elvenstar Tree Bat Attack,5,883,69.99,79.99,99.99,79.99,https://images.brickset.com/sets/images/41196-1.jpg,745,380,0.079263873
27699,60188,1,City,Mining,2018,Mining Experts Site,6,883,79.99,99.99,129.99,71.99,https://images.brickset.com/sets/images/60188-1.jpg,1190,917,0.090588901
27785,70653,1,Ninjago,Hunted,2018,Firstbourne,6,882,59.99,69.99,89.99,69.99,https://images.brickset.com/sets/images/70653-1.jpg,1312,646,0.068015873
27843,75954,1,Harry Potter,General,2018,Hogwarts Great Hall,10,878,89.99,99.99,129.99,99.99,https://images.brickset.com/sets/images/75954-1.jpg,6220,2316,0.102494305
24929,70614,1,The LEGO Ninjago Movie,,2017,Lightning Jet,6,876,59.99,59.99,74.99,59.99,https://images.brickset.com/sets/images/70614-1.jpg,2154,741,0.068481735
29085,70676,1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,Lloyd's Titan Mech,6,876,64.99,79.99,99.99,69.99,https://images.brickset.com/sets/images/70676-1.jpg,172,789,0.074189498
27458,10405,1,Classic,Building Bigger Thinking,2018,Mission to Mars,3,871,44.99,59.99,69.99,49.99,https://images.brickset.com/sets/images/10405-1.jpg,826,455,0.051653272
26961,41318,1,Friends,,2017,Heartlake Hospital,5,871,84.99,99.99,109.99,89.99,https://images.brickset.com/sets/images/41318-1.jpg,1358,664,0.097577497
29233,40366,1,Promotional,LEGO House,2019,LEGO House Dinosaurs,,864,,,,,https://images.brickset.com/sets/images/40366-1.jpg,173,570,0
27887,60204,1,City,Medical,2018,City Hospital,13,861,69.99,99.99,109.99,79.99,https://images.brickset.com/sets/images/60204-1.jpg,2555,1821,0.081289199
28343,21315,1,Ideas,,2018,Pop-Up Book,5,859,59.99,69.99,89.99,69.99,https://images.brickset.com/sets/images/21315-1.jpg,4056,1572,0.06983702
26942,17101,1,Boost,,2017,Boost Creative Toolbox,,843,149.99,159.99,199.99,159.99,https://images.brickset.com/sets/images/17101-1.jpg,2254,721,0.177924081
27735,75889,1,Speed Champions,Ferrari,2018,Ferrari Ultimate Garage,7,841,89.99,99.99,129.99,99.99,https://images.brickset.com/sets/images/75889-1.jpg,1815,1310,0.107003567
26479,70352,1,Nexo Knights,Season 3,2017,Jestro's Headquarters,7,840,84.99,89.99,109.99,99.99,https://images.brickset.com/sets/images/70352-1.jpg,792,428,0.101178571
28368,76126,1,Marvel Super Heroes,Avengers: Endgame,2019,Avengers Ultimate Quinjet,6,838,74.99,79.99,99.99,79.99,https://images.brickset.com/sets/images/76126-1.jpg,2175,1473,0.089486874
27991,4000026,1,Promotional,LEGO House,2018,LEGO House Tree of Creativity,1,837,,,,,https://images.brickset.com/sets/images/4000026-1.jpg,823,729,0
29038,60228,1,City,Space,2019,Deep Space Rocket and Launch Control,7,837,89.99,99.99,139.99,99.99,https://images.brickset.com/sets/images/60228-1.jpg,382,1558,0.107514934
26713,75180,1,Star Wars,The Force Awakens,2017,Rathtar Escape,5,836,84.99,79.99,99.99,89.99,https://images.brickset.com/sets/images/75180-1.jpg,3130,1606,0.101662679
29338,21155,1,Minecraft,Minifig-scale,2019,The Creeper Mine,,834,79.99,79.99,99.99,79.99,https://images.brickset.com/sets/images/21155-1.jpg,22,197,0.095911271
27272,70656,1,The LEGO Ninjago Movie,,2017,"garmadon, Garmadon, GARMADON!",6,830,79.99,79.99,99.99,79.99,https://images.brickset.com/sets/images/70656-1.jpg,1605,1109,0.096373494
27798,75219,1,Star Wars,Solo,2018,Imperial AT-Hauler,5,829,89.99,99.99,129.99,99.99,https://images.brickset.com/sets/images/75219-1.jpg,2349,1347,0.108552473
28405,42094,1,Technic,,2019,Tracked Loader,,827,54.99,79.99,99.99,59.99,https://images.brickset.com/sets/images/42094-1.jpg,678,576,0.066493349
28316,10268,1,Creator Expert,Vestas,2018,Vestas Wind Turbine,3,826,159.99,199.99,249.99,179.99,https://images.brickset.com/sets/images/10268-1.jpg,1281,1992,0.193692494
26724,75191,1,Star Wars,Episode II,2017,Jedi Starfighter with Hyperdrive,4,825,89.99,99.99,129.99,109.99,https://images.brickset.com/sets/images/75191-1.jpg,3070,2782,0.109078788
26799,60161,1,City,Jungle,2017,Jungle Exploration Site,7,813,84.99,119.99,149.99,99.99,https://images.brickset.com/sets/images/60161-1.jpg,2268,1347,0.104538745
28147,75230,1,Star Wars,The Last Jedi,2018,Porg,,811,59.99,69.99,89.99,69.99,https://images.brickset.com/sets/images/75230-1.jpg,3033,1011,0.073970407
29324,60203,1,City,Town,2019,Ski Resort,,806,,,,,https://images.brickset.com/sets/images/60203-1.jpg,2,675,0
28087,75955,1,Harry Potter,Prisoner of Azkaban,2018,Hogwarts Express,6,801,74.99,79.99,99.99,79.99,https://images.brickset.com/sets/images/75955-1.jpg,6341,2339,0.093620474
26793,60167,1,City,Coast Guard,2017,Coast Guard Headquarters,7,792,84.99,119.99,149.99,99.99,https://images.brickset.com/sets/images/60167-1.jpg,1220,1043,0.107310606
29042,60233,1,City,Town,2019,Donut shop opening,10,790,79.99,89.99,119.99,79.99,https://images.brickset.com/sets/images/60233-1.jpg,288,1833,0.101253165
27850,60195,1,City,Arctic,2018,Arctic Mobile Exploration Base,6,786,84.99,119.99,149.99,99.99,https://images.brickset.com/sets/images/60195-1.jpg,1634,1107,0.108129771
26958,70356,1,Nexo Knights,Season 4,2017,The Stone Colossus of Ultimate Destruction,5,785,59.99,69.99,89.99,69.99,https://images.brickset.com/sets/images/70356-1.jpg,590,536,0.076420382
